     Time[s]      Injection_Rate[m^3/s]
  0.34207436E+08  0.52157204E-07
  0.34285714E+08  0.52154651E-07
  0.34363992E+08  0.52151978E-07
  0.34442270E+08  0.52149187E-07
  0.34520548E+08  0.52146276E-07
  0.34598826E+08  0.52143247E-07
  0.34677104E+08  0.52140027E-07
  0.34755382E+08  0.52135991E-07
  0.34833659E+08  0.52131715E-07
  0.34911937E+08  0.52127576E-07
  0.34990215E+08  0.52123572E-07
  0.35068493E+08  0.52119704E-07
  0.35146771E+08  0.52115972E-07
  0.35225049E+08  0.52112376E-07
  0.35303327E+08  0.52108915E-07
  0.35381605E+08  0.52105590E-07
  0.35459883E+08  0.52102401E-07
  0.35538160E+08  0.52099745E-07
  0.35616438E+08  0.52097830E-07
  0.35694716E+08  0.52095807E-07
  0.35772994E+08  0.52093679E-07
  0.35851272E+08  0.52091443E-07
  0.35929550E+08  0.52089101E-07
  0.36007828E+08  0.52086652E-07
  0.36086106E+08  0.52084097E-07
  0.36164384E+08  0.52081434E-07
  0.36242661E+08  0.52078665E-07
  0.36320939E+08  0.52075751E-07
  0.36399217E+08  0.52072060E-07
  0.36477495E+08  0.52068099E-07
  0.36555773E+08  0.52064261E-07
  0.36634051E+08  0.52060544E-07
  0.36712329E+08  0.52056948E-07
  0.36790607E+08  0.52053474E-07
  0.36868885E+08  0.52050122E-07
  0.36947162E+08  0.52046891E-07
  0.37025440E+08  0.52043782E-07
  0.37103718E+08  0.52040794E-07
  0.37181996E+08  0.52038280E-07
  0.37260274E+08  0.52036506E-07
  0.37338552E+08  0.52034636E-07
  0.37416830E+08  0.52032669E-07
  0.37495108E+08  0.52030606E-07
  0.37573386E+08  0.52028447E-07
  0.37651663E+08  0.52026192E-07
  0.37729941E+08  0.52023840E-07
  0.37808219E+08  0.52021393E-07
  0.37886497E+08  0.52018848E-07
  0.37964775E+08  0.52016198E-07
  0.38043053E+08  0.52012809E-07
  0.38121331E+08  0.52009123E-07
  0.38199609E+08  0.52005546E-07
  0.38277886E+08  0.52002080E-07
  0.38356164E+08  0.51998722E-07
  0.38434442E+08  0.51995475E-07
  0.38512720E+08  0.51992336E-07
  0.38590998E+08  0.51989307E-07
  0.38669276E+08  0.51986388E-07
  0.38747554E+08  0.51983578E-07
  0.38825832E+08  0.51981190E-07
  0.38904110E+08  0.51979542E-07
  0.38982387E+08  0.51977807E-07
  0.39060665E+08  0.51975985E-07
  0.39138943E+08  0.51974076E-07
  0.39217221E+08  0.51972079E-07
  0.39295499E+08  0.51969995E-07
  0.39373777E+08  0.51967824E-07
  0.39452055E+08  0.51965566E-07
  0.39530333E+08  0.51963220E-07
  0.39608611E+08  0.51960787E-07
  0.39686888E+08  0.51957666E-07
  0.39765166E+08  0.51954225E-07
  0.39843444E+08  0.51950883E-07
  0.39921722E+08  0.51947641E-07
  0.40000000E+08  0.51944497E-07
